d	ENGLISH_M	ENGLISH_F
LOC_ID_HEIRLOOM_TEXT_MEMORY_END_1	Ha haaa!  Congrats Kidd-o!  You proved that you can listen and learn.  That'll take you far.</LB></LB> Remember, people may lie but emotions always tell the truth.</CR>  ... Oh, and one more thing, Kidd-o.  Sometimes it pays to find an <color=blue>Emotional Connection</color> with your enemy.</LB></LB> <size=125%>*I*</size> know who you'll be tusslin' with...  You should know too.</CR>  Enough chatter for today.</LB> Come on, Kidd-o.  Receive my <color=blue>Power of Empathy</color> and let's take this show on the road!	
LOC_ID_HEIRLOOM_TITLE_MEMORY_HIDDEN_HOLE_1	Demetrius' Memory	
LOC_ID_HEIRLOOM_TEXT_MEMORY_HIDDEN_HOLE_1	Lost again.  Every path I've taken has been wrong!</LB></LB> Alright Demetrius, calm down... Remember the lesson your Elders taught you.</LB> <color=blue>He who gives you only two choices, always hides a third.</color>	
LOC_ID_HEIRLOOM_TITLE_MEMORY_BOUNCE_ORBITER_1	Babrius' Memory	
LOC_ID_HEIRLOOM_TEXT_MEMORY_BOUNCE_ORBITER_1	Been down here for hours.  Not sure what to do.</LB> <color=blue>Obstacles are just hidden opportunities.</color></LB></LB>  What did the Elders mean?  Could I use these spinning chains to my advantage?</LB> I'm too scared to try...	
LOC_ID_HEIRLOOM_TITLE_MEMORY_NO_COMBAT_1	Avianus' Memory	
LOC_ID_HEIRLOOM_TEXT_MEMORY_NO_COMBAT_1	There's a <color=blue>Nightmare</color> ahead.</LB> The Elders said they are powerful nihilistic thoughts that have grown and festered.</CR>  <color=blue>Violence begets violence.</color></LB>  If I attack or cast a spell anywhere nearby it will wake up and retaliate.</LB></LB>    Stay calm, and they won't attack.	
LOC_ID_HEIRLOOM_TITLE_MEMORY_DEFEAT_MEMORY_1	Avianus' Memory	
LOC_ID_HEIRLOOM_TEXT_MEMORY_DEFEAT_MEMORY_1	<color=blue>One can accomplish with kindness what one cannot by force.</color></LB></LB>   ... If I can reach the <color=blue>Nightmare</color> ahead of me, perhaps I can calm it down.  	
LOC_ID_HEIRLOOM_TITLE_MEMORY_HIDDEN_PORTAL_1	Avianus' Memory	
LOC_ID_HEIRLOOM_TEXT_MEMORY_HIDDEN_PORTAL_1	I've been tricked!  There's no escape!</LB></LB>  <color=blue>The exit lies above.</color>  Above where???  I'm done with your riddles!  Just let me out!	
LOC_ID_HEIRLOOM_TITLE_MEMORY_UNREADABLE_1	????	
LOC_ID_HEIRLOOM_TEXT_MEMORY_UNREADABLE_1	(You hear a thousand whispers, but can't make out a voice...)	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_HEIRLOOM_TITLE_SPIN_KICK_ENTRANCE_CLUE_1	J	
LOC_ID_HEIRLOOM_TEXT_SPIN_KICK_ENTRANCE_CLUE_1	Attention: Gregory</LB></LB>  The bridge has fallen to the <color=blue>Shift</color>, just like everything else.</CR>   And with sections of the bridge constantly switching places, the <color=blue>Estuaries</color> have deemed it too dangerous to ship supplies to the outlying villages.</LB></LB> The people won't make it to the next harvest if we don't help.</CR>   Therefore I want you to make a call for volunteers.</LB></LB>  We shall lead the shipments ourselves if we must.</LB></LB>   But in order to cross, <color=blue>you will need an Heirloom contained in the Gatehouse's Tower.</LB> The entrance is directly above the gates to the Citadel.</color></CR>   The entrance has caved in, but perhaps you can find another way in from the floors above.</LB></LB>  And remember to keep this quiet.  The <color=blue>Estuaries</color> won't approve of this...</CR>  Sometimes I wonder if they want the people to starve...</LB></LB>  But that is not the issue here.</LB></LB>  Perhaps by doing this, we can begin to atone for our past.	
LOC_ID_HEIRLOOM_TITLE_SPIN_KICK_INTRO_1	Echo of the Resonance	
LOC_ID_HEIRLOOM_TEXT_SPIN_KICK_INTRO_1	Heeeeeeey Buddy!</LB></LB>  You wanna take my challenge, right?  ... Right???</LB></LB>  C'mon, you've gotta take the challenge man.  I've been stuck up here for sooo long, like, you have no idea.</CR>   Just try it once.  What's the worst that can happen?</LB> It's soooo easy!</LB></LB>   Buddy.  Listen.  If you win, I promise you, my <color=blue>Power of Resonance</color> will totally be worth it - full stop, no joke.</LB> You have no idea how worth it this is.  So c'mon, let's get going!	
LOC_ID_HEIRLOOM_TITLE_SPIN_KICK_INTRO_REPEAT_1	Echo of the Resonance	
LOC_ID_HEIRLOOM_TEXT_SPIN_KICK_INTRO_REPEAT_1	Buddy!  I knew you'd come back!</LB></LB>  Wanna take on the challenge?	
LOC_ID_HEIRLOOM_TITLE_SPIN_KICK_END_1	Echo of the Resonance	
LOC_ID_HEIRLOOM_TEXT_SPIN_KICK_END_1	Oh yeah Buddy, you did it!</LB></LB>  Thanks for getting me out of there!</LB> Now let's start kicking stuff and have ourselves a party!	
LOC_ID_HEIRLOOM_TITLE_SPIN_KICK_NO_ABILITY_1	Echo of the Resonance	
LOC_ID_HEIRLOOM_TEXT_SPIN_KICK_NO_ABILITY_1	Heeeeeeey Buddy!</LB></LB>  You wanna take my challenge, right?  ... Right???</LB></LB>  Well you can't!</CR>  Sorry Buddy, I'm the <color=blue>Power of Resonance</color>, and I'm kind of a two-person act.</LB> Come back after you've spoken to my sister, Ananke.  She's got the <color=blue>Power of Momentum</color>.</LB></LB>  But don't keep me waiting!	
LOC_ID_HEIRLOOM_TITLE_SPIN_KICK_NO_ABILITY_REPEAT_1	Echo of the Resonance	
LOC_ID_HEIRLOOM_TEXT_SPIN_KICK_NO_ABILITY_REPEAT_1	Buddy, buddy, buddy.</LB></LB>  I told you, you have to speak to my sister first.  I can't help you unless you have the <color=blue>Power of Momentum</color>.	
LOC_ID_HEIRLOOM_TITLE_SPIN_KICK_ROOTS_CLUE_1	Gregory	
LOC_ID_HEIRLOOM_TEXT_SPIN_KICK_ROOTS_CLUE_1	Stairwell's collapsed...  No way to get up there now.</LB></LB>  These wretched <color=blue>Black Roots</color> were probably the cause.  Must have wormed their way into the cracks.	
LOC_ID_HEIRLOOM_TITLE_TOWER_DAMAGE_1	Gregory	
LOC_ID_HEIRLOOM_TEXT_TOWER_DAMAGE_1	J,</LB></LB>  The last cave-in buried the Heirloom.</LB>  The good news is that the Heirloom is still intact.  Those things are sturdy.</CR>  We've been trying to dig it out, but the Tower's barely in one piece.</LB> If it moves too much, I fear the whole Tower will collapse.  If that happens, we'll bury the only entrance into Agartha.</LB></LB>   There's nothing else we can do, we have to leave it be.  Sorry J.	
LOC_ID_HEIRLOOM_TITLE_DOUBLE_JUMP_INTRO_1	Aether of the Wind	
LOC_ID_HEIRLOOM_TEXT_DOUBLE_JUMP_INTRO_1	Hark.......</LB></LB>  ... I see... </LB> ... the Others...</CR>   You have done this... before...</CR>   I am Aether... I hold the <color=blue>Power of Zephyr</color>.</LB></LB>  ... That is all...	
LOC_ID_HEIRLOOM_TITLE_DOUBLE_JUMP_REPEAT_1	Aether of the Wind	
LOC_ID_HEIRLOOM_TEXT_DOUBLE_JUMP_REPEAT_1	Welcome...</LB></LB>  ... 	
LOC_ID_HEIRLOOM_TITLE_DOUBLE_JUMP_END_1	Aether of the Wind	
LOC_ID_HEIRLOOM_TEXT_DOUBLE_JUMP_END_1	... That was... Cool.	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_HEIRLOOM_TITLE_VOID_DASH_INTRO_1	Pallas of the Void	
LOC_ID_HEIRLOOM_TEXT_VOID_DASH_INTRO_1	... (The Heirloom is silent.)	
LOC_ID_HEIRLOOM_TITLE_VOID_DASH_INTRO_REPEAT_1	Pallas of the Void	
LOC_ID_HEIRLOOM_TEXT_VOID_DASH_INTRO_REPEAT_1	... (The Heirloom remains silent.)	
LOC_ID_HEIRLOOM_TITLE_VOID_DASH_END_1	Pallas of the Void	
LOC_ID_HEIRLOOM_TEXT_VOID_DASH_END_1	.... Wh-wha?  Oh, hello there.  Sorry, you caught me napping.</CR>  So!  </LB> You've come for my <color=blue>Power of the Void</color>, have you?</LB> Well, let me tell you, it won't be easy.</CR>  Oh...</LB> ... You already got it?</CR>  ...</LB> ....</LB> ... Ta daaa...	
LOC_ID_HEIRLOOM_TITLE_VOID_DASH_NO_ABILITY_1	Pallas of the Void	
LOC_ID_HEIRLOOM_TEXT_VOID_DASH_NO_ABILITY_1	(There's a note pinned to the base of the statue.)</CR>  'Don't wake her up if nothing's happening.  Pallas is an <color=blue>Amplifying Heirloom</color>.</LB></LB>  If you can't get in, it's because you don't have Echo's Resonance.</LB></LB>  Speak to the guards by the bridge if you haven't received Echo's power yet.  They know where he is.'</LB></LB>  - High Scholar Murmur  	
\\		
\\		
\\		
\\		
\\		
LOC_ID_HEIRLOOM_TEXT_EARTH_SHIFT_INTRO_1	<size=125%>Traveler, you are seen.</size></LB></LB>  <size=125%>I am <color=blue>Gilgamesh of the Miracle</color>.</size></CR>   <size=125%>The last wielder has perished.</LB> Their soul, returned to the sea.</size></LB></LB>  <size=125%>My power, free to bestow upon another.</size></CR>   <size=125%>Traveler, earn your worth.</LB></LB>  Accept the challenge, gain my powers.</size>	
LOC_ID_HEIRLOOM_TEXT_EARTH_SHIFT_INTRO_REPEAT_1	<size=125%>Traveler, you return.</LB></LB>  Are you ready for your future?</size>	
LOC_ID_HEIRLOOM_TEXT_EARTH_SHIFT_END_1	<size=125%>Honor Traveler. Your worth is proven.</size></CR>  <size=125%>Your respect is due.</size>	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_PAINTING_DESCRIPTION_1	A New Life	
LOC_ID_PAINTING_DESCRIPTION_2	Ignorance	
LOC_ID_PAINTING_DESCRIPTION_3	Violence	
LOC_ID_PAINTING_DESCRIPTION_4	Barter	
LOC_ID_PAINTING_DESCRIPTION_5	Consequence	
LOC_ID_PAINTING_DESCRIPTION_6	Denial	
LOC_ID_PAINTING_DESCRIPTION_7	Second Chance	
LOC_ID_PAINTING_DESCRIPTION_8	The Long Night	
LOC_ID_PAINTING_DESCRIPTION_9	Garden	
LOC_ID_PAINTING_DESCRIPTION_10	dd	
\\		
LOC_ID_WEAPON_ROOM_DESCRIPTION_1	... Choose this weapon and gain favour with the Gods...</LB>Accept the {0}?	
LOC_ID_HEALTH_SACRIFICE_ROOM_DESCRIPTION_1	... Offer life and gain favour with the Gods...</LB>Sacrifice {0} health?	
\\		
\\		
\\		
LOC_ID_FAIRY_UI_TITLE_1	Fairy Chest	
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_FAIRY_RULE_KILL_ALL_ENEMIES_1	Defeat All Enemies	
LOC_ID_FAIRY_RULE_TAKE_NO_DAMAGE_1	Don't Get Hit	
LOC_ID_FAIRY_RULE_LOSE_NO_HEALTH_1	Lose No Health	
LOC_ID_FAIRY_RULE_TIME_LIMIT_1	Time Limit: {0}	
LOC_ID_FAIRY_RULE_NO_JUMPING_1	No Jumping	
LOC_ID_FAIRY_RULE_NO_DOUBLE_JUMP_1	No Double Jumping	
LOC_ID_FAIRY_RULE_NO_DASHING_1	No Dashing	
LOC_ID_FAIRY_RULE_NO_ATTACKING_1	No Fighting	
LOC_ID_FAIRY_RULE_PUZZLE_1	Puzzle Challenge!	
LOC_ID_FAIRY_RULE_TARGETS_1	Destroy All Targets	
LOC_ID_FAIRY_RULE_REACH_1	Open Me	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_FAIRY_RULE_MIRROR_TITLE_1	Z's Memories	
LOC_ID_FAIRY_RULE_MIRROR_DIALOGUE_1	<i>... I must mirror the line...</i>	
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_INTRO_BIG_TEXT_STARTING_CRAWL_1		
LOC_ID_INTRO_BIG_TEXT_STARTING_CRAWL_2		
LOC_ID_INTRO_BIG_TEXT_STARTING_CRAWL_3	... Once you cast off, there is no turning back.	
LOC_ID_INTRO_BIG_TEXT_STARTING_CRAWL_4		
LOC_ID_INTRO_BIG_TEXT_STARTING_CRAWL_5	... Your children shall inherit your legacy.	
LOC_ID_INTRO_BIG_TEXT_STARTING_CRAWL_6		
\\		
LOC_ID_HESTIA_BIG_TEXT_NEW_CONTRACT_1	A new <color=red>Contract</color> signed...	
LOC_ID_HESTIA_BIG_TEXT_NEW_CONTRACT_2	... A new successor chosen.	
LOC_ID_HESTIA_BIG_TEXT_FAMILY_RELIQUARY_1	Accept the <color=red>Reliquary</color>...	
LOC_ID_HESTIA_BIG_TEXT_FAMILY_RELIQUARY_2	... And be bound to your ancestors.	
LOC_ID_HESTIA_BIG_TEXT_BELL_RINGS_1	The <color=red>Bell</color> rings for those who pass...	
LOC_ID_HESTIA_BIG_TEXT_BELL_RINGS_2	... A new heir must be chosen.	
LOC_ID_HESTIA_BIG_TEXT_MADE_FROM_SEED_1	Crafted from the Seed...	
LOC_ID_HESTIA_BIG_TEXT_MADE_FROM_SEED_2	... For a sin unresolved.	
LOC_ID_HESTIA_BIG_TEXT_MEMORIES_SHALL_PASS_1	You shall inherit more than just belongings...	
LOC_ID_HESTIA_BIG_TEXT_MEMORIES_SHALL_PASS_2	... But memories as well.	
LOC_ID_HESTIA_BIG_TEXT_CONTRACT_1	The <color=red>Seed</color> is a choice...	
LOC_ID_HESTIA_BIG_TEXT_CONTRACT_2	... The <color=red>Fruit</color>, a punishment.	
LOC_ID_HESTIA_BIG_TEXT_BODY_TRANSPORT_1	The <color=red>Contract</color> binds body and soul...	
LOC_ID_HESTIA_BIG_TEXT_BODY_TRANSPORT_2	... No food for the carrions.  All belong to the <color=red>Reliquary</color>.	
LOC_ID_HESTIA_BIG_TEXT_LEGACY_1	Your legacy lives on...	
LOC_ID_HESTIA_BIG_TEXT_LEGACY_2	... Even if your children do not.	
\\		
LOC_ID_TREE_BIG_TEXT_YOUR_DUTY_1	Enter the <color=red>Golden Doors</color>...	
LOC_ID_TREE_BIG_TEXT_YOUR_DUTY_2	... Your King demands it.	
LOC_ID_TREE_BIG_TEXT_MANY_YEARS_1	One thousand years...	
LOC_ID_TREE_BIG_TEXT_MANY_YEARS_2	... One thousand more.	
LOC_ID_TREE_BIG_TEXT_NO_GROWTH_1	No growth...	
LOC_ID_TREE_BIG_TEXT_NO_GROWTH_2	... Without sacrifice.	
LOC_ID_TREE_BIG_TEXT_CHANGE_1	Change is slow...	
LOC_ID_TREE_BIG_TEXT_CHANGE_2	... But it is relentless.	
LOC_ID_TREE_BIG_TEXT_WATER_RISES_1	The sacrifices grow...	
LOC_ID_TREE_BIG_TEXT_WATER_RISES_2	.... And the water rises.	
LOC_ID_TREE_BIG_TEXT_WHITE_TREE_1	The White Tree...	
LOC_ID_TREE_BIG_TEXT_WHITE_TREE_2	... Hides Black Roots.	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_INTRO_TUTORIAL_MOVE_1	[MoveHorizontal-] and [MoveHorizontal+] to move	
LOC_ID_INTRO_TUTORIAL_JUMP_1	[Jump] to jump	
LOC_ID_INTRO_TUTORIAL_HOLD_JUMP_1	Hold [Jump] to jump higher	
LOC_ID_INTRO_TUTORIAL_DOWN_JUMP_1	[MoveVertical-] and [Jump] to drop through</LB> thin platforms	
LOC_ID_INTRO_TUTORIAL_DASH_1	[DashRight] to Dash left or right	
LOC_ID_INTRO_TUTORIAL_DASH_JUMP_1	[DashRight] to Dash in the air	
LOC_ID_INTRO_TUTORIAL_DASH_CLASSIC_1	[DashRight] to Dash in the air	
LOC_ID_INTRO_TUTORIAL_DASH_AIR_UPGRADE_1	Ananke's Shawl allows you to <color=yellow>Dash</color> in the air	
LOC_ID_INTRO_TUTORIAL_ATTACK_1	[Attack] to attack	
LOC_ID_INTRO_TUTORIAL_AIM_ATTACK_1	[MoveVertical+] + [Attack] to attack upwards	
LOC_ID_INTRO_TUTORIAL_JUMP_ATTACK_1	(In Air) [Attack] to Jump Attack	
LOC_ID_INTRO_TUTORIAL_SPIN_KICK_1	(In Air) [MoveVertical-] + [Jump] to <color=yellow>Spin Kick</color></LB> <size=75%>([Downstrike] can also be used to <color=yellow>Spin Kick</color>)</size>	
LOC_ID_INTRO_TUTORIAL_INVADE_1	(In Air) [MoveVertical-] and [Jump] to kick open trap doors</LB> <size=75%>([Downstrike] can also be used)</size>	
LOC_ID_INTRO_TUTORIAL_EXIT_DAMAGE_1	(Shortly after taking damage)</LB> [Jump] Aerial Recovery	
LOC_ID_INTRO_TUTORIAL_CLASS_TALENT_1	[Talent] to use your <color=yellow>Class Talent</color>	
LOC_ID_INTRO_TUTORIAL_MAGIC_TALENT_1	[Spell] to spend <color=yellow>Mana</color> and cast your Spell.</LB> Restore <color=yellow>Mana</color> by <color=yellow>Attacking</color> Enemies	
LOC_ID_INTRO_TUTORIAL_TRICK_DOOR_1	<color=yellow>Trick Walls</color> only open when struck by a [Spell] Spell or [Talent] Talent	
LOC_ID_INTRO_TUTORIAL_MEMORY_READ_1	[Interact] Attune to <color=yellow>Memory Fragments</color> to hear subconscious thoughts	
LOC_ID_INTRO_TUTORIAL_MEMORY_DEFEAT_1	[Interact] Attune to <color=yellow>Nightmares</color> to lay them to rest	
LOC_ID_INTRO_TUTORIAL_SIMPLE_SPIN_KICK_1	[Downstrike] can also be used to perform <color=yellow>Spin Kicks</color>	
LOC_ID_INTRO_TUTORIAL_LOOKING_1	[FreeLook] to look around	
LOC_ID_INTRO_TUTORIAL_LOOK_FOR_SECRETS_1	There are secrets everywhere.</LB> [FreeLook] to search for them	
LOC_ID_INTRO_TUTORIAL_SECRETS_EVERYWHERE_1	Some Heirlooms</LB> are hidden	
LOC_ID_INTRO_TUTORIAL_RESONANCE_KICK_UPGRADE_1	Your <color=yellow>Spin Kicks</color> have been upgraded into <color=yellow>Echo Kicks</color>	
LOC_ID_INTRO_TUTORIAL_RESONANCE_KICK_1	<color=yellow>Echo Kicks</color> can strike <color=purple>Resonant</color> objects and projectiles	
LOC_ID_INTRO_TUTORIAL_RESONANCE_RESET_EXPLAINED_1	<color=yellow>Echo Kicks</color> reset your <color=yellow>Dashes</color>	
LOC_ID_INTRO_TUTORIAL_RESONANCE_RESET_ACTION_1	Perform <color=yellow>Spin Kicks</color> to reset your </color=purple>Dashes</color>	
LOC_ID_INTRO_TUTORIAL_RESONANCE_ENEMIES_1	<color=purple>Resonant</color> enemies can only be hurt by <color=yellow>Echo Kicks</color>	
LOC_ID_INTRO_TUTORIAL_DOUBLE_JUMP_INTRO_1	(In Air) [Jump] to <color=yellow>Double Jump</color>	
LOC_ID_INTRO_TUTORIAL_DOUBLE_JUMP_DASH_1	<color=yellow>Double Jump</color> can be done after an <color=yellow>Air Dash</color>	
LOC_ID_INTRO_TUTORIAL_VOID_DASH_UPGRADE_1	Your <color=yellow>Dashes</color> have been upgraded into <color=yellow>Void Dashes</color>	
LOC_ID_INTRO_TUTORIAL_VOID_DASH_MOVE_1	Press [DashRight] to <color=yellow>Void Dash</color>	
LOC_ID_INTRO_TUTORIAL_VOID_DASH_PROJECTILES_1	<color=yellow>Void Dashes</color> can pass through <color=yellow>Void</color> objects and projectiles	
LOC_ID_INTRO_TUTORIAL_VOID_DASH_DISTANCE_1	(HOLD) [DashRight] to extend your <color=yellow>Void Dash</color>	
LOC_ID_INTRO_TUTORIAL_VOID_DASH_CANCEL_1	(RELEASE)  [DashRight] to stop an extended <color=yellow>Void Dash</color> early	
LOC_ID_INTRO_TUTORIAL_TALL_SPIKES_PLATFORM_1	Spikes can be safely stepped on from the side	
LOC_ID_INTRO_TUTORIAL_DASH_BEGINNING_TUTORIAL_1	(On Ground) [DashRight] to <color=yellow>Dash</color> in the direction you are moving	
LOC_ID_INTRO_TUTORIAL_DASH_BEGINNING_TUTORIAL_2	(On Ground) While <color=yellow>Dashing</color> press [Attack] to <color=yellow>Dash Attack</color>	
LOC_ID_INTRO_TUTORIAL_GAME_SETTINGS_EXPLAINED_1	Classic Two-button Dash</LB> and more options can be set in</LB> <color=yellow>Game Settings</color>	
LOC_ID_INTRO_TUTORIAL_DASH_HERE_1	<color=yellow>Dash</color></LB> over this	
LOC_ID_INTRO_TUTORIAL_SPIN_KICK_ENEMIES_1	<color=yellow>Spin Kick</color> enemies to gain height	
LOC_ID_INTRO_TUTORIAL_WARNING_MISSING_ABILITY_1	Requires</LB> Echo's Boots	
LOC_ID_INTRO_TUTORIAL_SPIN_KICK_SIZE_1	<color=yellow>Spin Kicks</color> also</LB> hit to the side	
LOC_ID_INTRO_TUTORIAL_DASH_BOUNCE_1	<color=yellow>Dash</color></LB>
 into this	
LOC_ID_INTRO_TUTORIAL_DASH_BOUNCE_RESET_1	<color=yellow>Void Lifts</color></LB> reset your dashes	
LOC_ID_INTRO_TUTORIAL_INSIGHT_CLUES_1	[Pause] The <color=yellow>Quest Tab</color> lists</LB> all of the clues you've discovered so far	
LOC_ID_INTRO_TUTORIAL_WARNING_MISSING_DOUBLE_JUMP_1	Requires</LB> Aether's Wings	
LOC_ID_INTRO_TUTORIAL_SCARS_INTERACTION_1	<color=yellow>Scars</color> are hidden everywhere.</LB> Visit Geras in the Drift House for clues to their location.	
LOC_ID_INTRO_TUTORIAL_COMBAT_SCAR_SCORING_1	In <color=yellow>Combat Scars</color> your score is based on how well you perform with ALL classes	
LOC_ID_INTRO_TUTORIAL_COMBAT_SCAR_GETTING_GOLD_1	Score high with a few classes, or score low with many to earn trophies	
LOC_ID_INTRO_TUTORIAL_PLATFORM_SCAR_SCORING_1	For <color=yellow>Platforming Scars</color>, trophies are awarded based on fastest times	
LOC_ID_INTRO_TUTORIAL_PLATFORM_SCAR_QUICK_RESET_1	You can quickly <color=yellow>Retry Scars</color> through the <color=yellow>Pause Menu</color>	
LOC_ID_INTRO_TUTORIAL_FINDING_EMPATHY_1	Your stats are always pre-set.</LB> So to gain an edge, find <color=yellow>Empathies</color>	
LOC_ID_INTRO_TUTORIAL_DASH_CANCEL_1	Exit attacks quickly by <color=yellow>Dashing</color>	
LOC_ID_INTRO_TUTORIAL_ALL_ABILITIES_1	Use all <color=yellow>Abilities</color> to help clear Challenges faster	
LOC_ID_INTRO_TUTORIAL_SPECIAL_ROOMS_NO_DROPS_1	In <color=yellow>Lore Rooms</color></LB> breakables will never drop items.	
LOC_ID_INTRO_TUTORIAL_WARNING_MISSING_AIR_DASH_1	Requires</LB> Ananke's Shawl	
LOC_ID_INTRO_TUTORIAL_CLUE_CASTLE_BOSS_NO_AIR_DASH_1	ANANKE'S SHAWL IS NEEDED</LB> TO OPEN THE CHAMBER DOORS	
LOC_ID_INTRO_TUTORIAL_CLUE_CASTLE_BOSS_HAS_AIR_DASH_1	THE <color=purple>QUEST</color> TAB CONTAINS</LB> ALL THE CLUES YOU HAVE DISCOVERED	
LOC_ID_INTRO_TUTORIAL_AIR_DASH_HERE_1	Air Dash Here	
LOC_ID_INTRO_TUTORIAL_EARTH_SHIFT_POWER_INTRO_1	You have been granted the</LB> power of <color=yellow>Miracles</color>	
LOC_ID_INTRO_TUTORIAL_EARTH_SHIFT_POWER_EXPLAIN_1	Hold [Interact] In front of <color=yellow>Binding Stones</color> to raise the land	
LOC_ID_INTRO_TUTORIAL_EARTH_SHIFT_POWER_RESET_1	<color=yellow>Binding Stones</color> will return to their position if untouched.	
LOC_ID_INTRO_TUTORIAL_EARTH_SHIFT_POWER_MOVE_OTHERS_1	<color=yellow>Binding Stones</color> are bound ephemerally to other pieces of land	
LOC_ID_INTRO_TUTORIAL_EARTH_SHIFT_SIZE_1	Larger <color=yellow>Binding Stones</color> require more willpower to move land	
LOC_ID_INTRO_TUTORIAL_SKIP_TUTORIAL_1	The <color=yellow>Tutorial</color> can be skipped</LB> in the <color=yellow>Pause Menu</color>	
LOC_ID_INTRO_TUTORIAL_SECRET_MESSAGE_1	'Sup.	
LOC_ID_INTRO_TUTORIAL_HOUSE_RULES_EXPLAINED_1	Contact Damage can be disabled in <color=yellow>House Rules</color>	
\\		
\\		
\\		
\\		
LOC_ID_TUTORIAL_RESOLVE_TITLE_1	Enoch's Research Notes	
LOC_ID_TUTORIAL_RESOLVE_DIALOGUE_1	</LB></LB></LB> <align="center"><b><size=200%>A PRIMER ON RELICS AND RESOLVE</size></align></b></CR>  1. <color=blue>Relics</color> are artifacts that grant powerful abilities to the user, but require <color=blue>Resolve</color> to wield.</LB></LB>  2. Those with a strong <color=blue>Resolve</color> (<color=yellow>100%</color> or more) have shown no physical or mental deficits in combat.</LB> </LB>  3. Conversely, those with weak <color=blue>Resolve</color> (less than <color=yellow>100%</color>) have displayed signs of ailing <color=purple>Health</color>.</LB></LB></LB>   **There also seems to be a correlation between the amount of armor a soldier wore, and their <color=purple>Resolve</color>.  Those who wore heavier armor were less confident in their abilities, and thus had weaker wills and <color=purple>Resolve</color>.</LB> <size=75%>Perhaps we should send our soldiers out naked.</size>	
LOC_ID_TUTORIAL_RESOLVE_REWRITE_DIALOGUE_1	</LB></LB></LB> <align="center"><b><size=200%>A PRIMER ON RELICS AND RESOLVE</size></align></b></CR>  1. <color=blue>Relics</color> are powerful items that cost <color=blue>Resolve</color> to wield.</LB></LB>  2. Going below <color=#be0000>100%</color> <color=blue>Resolve</color> will lower your <color=purple>Maximum Health</color>.</LB></LB>  3. Gain <color=blue>Bonus Resolve</color> based on your total Weight.</LB> <size=75%>*Staying <color=blue>Light</color> can grant an extra <color=#be0000>125</color> <color=blue>Bonus Resolve</color>!</size></LB></LB>  4. Raise your maximum Equip Weight to help keep your Weight Class low.	
LOC_ID_TUTORIAL_BLESSINGS_REWRITE_DIALOGUE_1	</LB></LB></LB> <align="center"><b><size=200%>CURIO SHOPPES</LB> AND THE POWER OF</LB> BLESSINGS</align></size></b></CR>  1. <color=blue>Curio Shoppes</color> grant powerful <color=blue>Blessings</color> to those who partake in their wares.</LB></LB>  2. Switch <color=purple>Weapons</color> to gain a <color=blue>Blessing of Strength</color> for bonus <color=purple>Weapon Damage</color>.</LB></LB>  3. Switch <color=purple>Spells</color> to gain a <color=blue>Blessing of Wisdom</color> for bonus <color=purple>Magic Damage</color>.</LB></LB> 4. Switch <color=purple>Talents</color> to gain a <color=blue>Blessing of Talent</color> for bonus <color=purple>Resolve</color>.	
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_DEATH_UI_ENEMIES_DEFEATED_1	Enemies Defeated:	
LOC_ID_DEATH_UI_SLAIN_BY_ENEMY_1	{0} has been slain by a {1}	
LOC_ID_DEATH_UI_SLAIN_BY_BOSS_1	{0} has been slain by {1}	
LOC_ID_DEATH_UI_RETIRED_1	{0} has had enough and decided to hang up their boots.	
LOC_ID_DEATH_UI_MYSTERIOUS_FORCE_1	Mysterious Force	
LOC_ID_DEATH_UI_DEATH_DEFIED_1	Death Defied!	
LOC_ID_DEATH_UI_SLAIN_BY_HAZARD_1	{0} has been slain by a Hazard	
LOC_ID_DEATH_UI_SLAIN_BY_DEATH_MARK_1	{0} has succumbed to the Black Root Poison	
\\		
\\		
\\		
\\		
\\		
LOC_ID_TUTORIAL_HINTS_BOSS_CD_1	Entering a Boss' chamber recharges all of your cooldowns.	
LOC_ID_TUTORIAL_HINTS_EQUIPMENT_1	Wearing new equipment is the fastest way to get stronger.	
LOC_ID_TUTORIAL_HINTS_UPGRADING_EQUIPMENT_1	Buying and upgrading equipment requires precious Ore.	
LOC_ID_TUTORIAL_HINTS_UNITY_EXPLANATION_1	Wearing the same equipment can give powerful UNITY bonuses.	
LOC_ID_TUTORIAL_HINTS_FLAMEBARRIER_ROTATION_1	The rotation of the Flame Barrier Spell depends on the direction you're facing.	
LOC_ID_TUTORIAL_HINTS_SPINKICK_SIDE_RANGE_1	Your Spin Kick strikes below AND to your sides.	
LOC_ID_TUTORIAL_HINTS_MAGIC_DAMAGE_MEAT_1	Increasing your Intelligence increases how much Health you gain when consuming a Health Drop.	
